State|Property_Tax|Sales_Tax|Indiv_Income_Tax|Corp_Income_Tax|Other_Taxes
Alabama|19.4|47.5|20.3|3.2|9.6
Alaska|21.4|10.9||10.4|57.3
Arizona|37.3|44.4|12.3|2.1|4.0
Arkansas|18.3|50.5|22.0|4.1|5.1
California|31.2|30.1|26.4|5.3|7.0
Colorado|39.1|32.9|20.0|1.8|6.2
Connecticut|42.0|25.1|26.9|2.4|3.6
Delaware|18.6|13.2|25.3|4.1|38.8
Florida|42.9|46.9||2.7|7.4
Georgia|35.2|36.5|23.3|2.3|2.8
Hawaii|21.1|49.2|23.2|1.2|5.4
Idaho|30.2|35.3|24.6|2.3|7.7
Illinois|43.6|31.7|15.9|2.5|6.3
Indiana|32.8|37.0|23.3|2.6|4.3
Iowa|34.8|33.5|23.0|1.6|7.1
Kansas|34.4|34.4|23.6|3.1|4.5
Kentucky|21.5|38.0|30.4|3.5|6.5
Louisiana|20.9|54.0|14.2|2.4|8.5
Maine|40.7|28.7|22.3|3.0|5.4
Maryland|30.1|24.4|35.6|3.2|6.7
Massachusetts|38.8|20.9|30.3|5.5|4.6
Michigan|40.3|36.5|16.4|1.9|4.8
Minnesota|30.7|33.5|26.5|3.0|6.4
Mississippi|28.2|46.7|15.1|3.5|6.5
Missouri|30.2|37.7|24.3|1.4|6.3
Montana|39.8|16.8|22.2|2.9|18.4
Nebraska|36.8|31.9|20.6|2.1|8.6
Nevada|34.5|50.5|||15.0
New_Hampshire|64.6|16.0|1.6|10.0|7.8
New_Jersey|48.4|22.4|20.2|4.0|5.0
New_Mexico|19.8|49.8|14.6|1.9|13.8
New_York|32.4|25.3|31.2|6.7|4.4
North_Carolina|26.2|36.0|27.9|4.0|5.9
North_Dakota|19.8|31.0|8.7|2.5|38.0
Ohio|30.0|32.5|27.7|0.6|9.1
Oklahoma|21.1|41.9|19.5|1.9|15.6
Oregon|37.6|10.0|37.7|3.0|11.6
Pennsylvania|30.4|31.2|25.4|3.7|9.4
Rhode_Island|45.6|29.5|18.9|2.5|3.5
South_Carolina|35.8|34.5|20.3|1.1|8.2
South_Dakota|35.9|53.6||1.2|9.3
Tennessee|27.6|56.8|1.0|4.9|9.8
Texas|45.2|44.3|||10.5
Utah|27.6|37.5|25.3|3.0|6.6
Vermont|45.9|29.2|16.6|2.9|5.5
Virginia|36.1|26.5|27.8|2.5|7.1
Washington|31.5|60.5|||8.0
West_Virginia|21.3|37.5|23.5|3.7|14.0
Wisconsin|39.5|28.9|23.8|3.5|4.3
Wyoming|42.5|31.2|||26.2
District_of_Columbia|37.0|27.0|22.0|6.5|7.5
