date,deaths
2020-3-4,107
2020-3-5, 148
2020-3-6,197
2020-3-7,233
2020-3-8,366
2020-3-9,463
2020-3-10,631
2020-3-11,827
2020-3-12,1016
2020-3-13,1266
2020-3-14,1441
2020-3-15,1809
2020-3-16,2158
2020-3-17,2503
2020-3-18,2978
2020-3-19,3405
2020-3-20,4032
2020-3-21,4825
2020-3-22,5476
2020-3-23,6077
2020-3-24,6820
2020-3-25,7503
2020-3-26,8200
2020-3-27,9134
2020-3-28,10023
2020-3-29,10779
2020-3-30,11591
2020-3-31,12428
2020-4-1,13155
2020-4-2,13915
2020-4-3,14681
2020-4-4,15362
2020-4-5,15887
2020-4-6,16523
2020-4-7,17127
2020-4-8,17669
2020-4-9,18279
2020-4-10,18849
2020-4-11,19468
2020-4-12,19899
2020-4-13,20465
2020-4-14,21067
2020-4-15,21645
2020-4-16,22170
2020-4-17,22745
2020-4-18,23227
2020-4-19,23660
2020-4-20,24114
2020-4-21,24648
2020-4-22,25085
2020-4-23,25549
2020-4-24,25969
